Index,Number of Friends,Approximate No of Friend Requests sent in a week,Approximate No of Friend Requests received in a week,Approximate No of messages sent in a week,Approximate No of messages received in a week,Approximate No of tags in a week,Approximate No of urls in messages sent/received in a week,Approximate No of posts in a week,message
0,448,2,2,50,70,2,10,1,"If you don't have any referrals in Microsoft then apply for it during career fair in September;Hey, are you still going to SSN office on Monday;Do you guys have more space"
1,438,10,15,100,150,1,10,2,Write notes in your own words
2,700,1,1,10,20,5,5,1,Actually I'm not going on monday;I'm going on tuesday;I think Sowmy is going on monday
3,337,1,1,20,20,0,0,0,"How are you;oh, he was okay with Tuesday too;he was telling me that you might come too"
4,1044,1,1,500,500,1,1,3,Use the dictionary to check the meaning of any unfamiliar words;and we three will go;Im waiting for authorization letter from vis;Most probably ill get it on monday
5,523,1,2,50,50,5,10,0,all the best;so that i can join u guys on tuesday;alright man
6,1100,1,2,15,17,0,0,0,kick start;r u going to ssn office tomorrow;I want too
7,523,1,1,25,25,5,5,3,have a nice day;I don't have a ride yet;i also want to go tomorrow
8,621,3,5,230,230,8,5,2,Open up the discussion;There is some guy who drives people right;ya but he has some meeting it seems tomorrow
9,791,5,10,600,600,10,10,3,I love you;Ah unsure emoticon;he can drive us tomorrow afternoon
10,613,1,1,10,10,2,5,1,all is well;That's good for me;but we should be 3
11,586,1,1,2,2,2,5,1,please vote for me;Do you know Akhilesh;He wanted to go too
12,483,1,2,10,10,1,1,1,mumbai is clean city;ya he went now to collect i20;he will confirm once he gets it
13,500,1,1,10,10,1,1,30,india wins the match;ill ask gaurav once akhilesh confirms;Alright. Sounds good!
14,700,5,4,500,500,5,100,4,have you moved to new place;akhilesh will be joining us;i checked with gaurav
15,500,1,1,25,25,5,1,1,sun rises in the east;we will start at 11;is that ok for you;cool.. Ill confirm to him
16,800,5,2,12,8,2,3,15,"I want to a job in google;hey man, I have a class till 2;from 1 to 2:30 actually"
17,400,1,1,25,15,10,5,30,"weather is very bad in newyork;I am not sure if there is going to be a quiz in the class unsure emoticon;we can't get back before 1, can we?"
18,395,1,1,20,20,1,8,1,game of thrones seaason 2 episode 1 is awesome
19,500,1,2,20,20,5,5,10,when will your exams start;ohh.. not sure;it takes min 3 hrs
20,300,1,3,5,5,1,1,1,fan is not working properly;ah unsure emoticon;can we go after 2:30
21,740,2,2,20,20,2,5,1,"please sit on the chair;hmm.. office closes at 4;or earlier in the day, may be 9 or something"
22,380,2,2,2,5,1,3,1,"keep your clothes properly;that guy has some meeting it seems at 9;okay, 11 is good then"
23,485,2,2,50,40,10,5,6,jaya lalitha is released from jail;be ready by 11 and come to chapin commons;Tuesday 8:10am
24,625,3,2,10,10,0,1,1,have you bought a new dress;Sure dude;At commons dude
25,551,10,20,1000,2000,5,10,5,"I had a very good massage today;did you shifted to chapin;not yet, im in maryland"
26,715,10,10,500,500,1,20,2,is he your relative;ill be shifting on saturday;you got any mail from regina
27,500,1,1,10,10,0,1,1,that conversation was so bad;what abt u;i shifted yesterday
28,392,1,6,10,10,1,4,1,"where do you live;yes, i got;ok. ur room no"
29,400,1,2,1,1,0,5,1,my friend's parents came to my place;you got any mail today regarding;Liability Notification
30,353,1,1,100,50,10,10,1,"I am going to graduate in next december;I mean what if our rooms in shomburg do not get filled;i dont think so, that is for people movin offcampus"
31,500,1,4,50,50,4,5,7,send this packet to mona;You wanna go to the ssn office on Monday right;We are planning to leave early morning at 7:30 AM
32,300,1,1,1000,1000,30,200,2,is your preparation done;And it's going to be $11 per person for the entire trip;Just spoke to Sowmy
33,300,1,2,50,50,2,10,1,clothing store next to your door is awesome;we both will be joining;We have space for 2 more for Monday so ask your friends as well
34,200,5,7,500,500,5,2,100,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
35,152,10,7,52,121,2,47,8,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
36,201,17,10,91,80,4,33,3,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
37,396,10,10,10,14,2,42,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
38,225,5,7,81,131,4,17,3,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
39,250,14,16,41,119,1,42,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
40,413,4,48,72,70,2,11,3,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
41,751,3,36,6,53,2,23,9,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
42,686,21,1,134,13,1,46,7,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
43,441,17,7,40,63,2,17,9,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
44,715,14,28,7,20,6,26,3,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
45,490,16,28,76,105,3,22,4,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
46,469,9,20,8,186,2,33,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
47,440,3,27,8,182,3,33,4,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
48,302,5,31,38,128,4,8,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
49,373,2,6,95,48,1,20,6,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
50,430,1,24,95,175,3,33,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
51,401,11,7,132,32,1,46,8,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
52,130,16,10,25,98,2,37,6,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
53,329,18,13,97,61,1,25,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
54,216,13,15,57,87,2,35,1,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
55,115,10,4,12,130,3,6,6,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
56,337,18,5,2,112,3,1,2,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
57,439,4,31,70,95,4,19,8,please attend the function;I'm sure more people will respond to the post;And if there are people we can get two cars
